fusion,head,split,n_seeds,rmse_mean,rmse_std,mae_mean,mae_std,acc_mean,acc_std,nll_mean,nll_std
additive,ordinal,u1,3,0.9228,0.0012,0.7221,0.0012,0.4311,0.0018,1.2637,0.0046
additive,ordinal,u2,3,0.9204,0.0004,0.7167,0.0017,0.4363,0.0022,1.2656,0.0002
additive,ordinal,u3,3,0.9144,0.0025,0.7125,0.0018,0.4388,0.0036,1.2636,0.0052
additive,ordinal,u4,3,0.9153,0.0018,0.7165,0.0005,0.4342,0.0012,1.2673,0.0044
additive,ordinal,u5,3,0.9141,0.0023,0.7190,0.0004,0.4294,0.0021,1.2668,0.0054
additive,sigmoid,u1,3,0.9259,0.0004,0.7321,0.0004,0.4166,0.0002,—,—
additive,sigmoid,u2,3,0.9199,0.0020,0.7223,0.0011,0.4269,0.0026,—,—
additive,sigmoid,u3,3,0.9146,0.0015,0.7183,0.0016,0.4290,0.0055,—,—
additive,sigmoid,u4,3,0.9160,0.0006,0.7201,0.0008,0.4292,0.0012,—,—
additive,sigmoid,u5,3,0.9179,0.0010,0.7264,0.0016,0.4198,0.0036,—,—
gated,ordinal,u1,3,0.9179,0.0029,0.7182,0.0032,0.4335,0.0014,1.2560,0.0007
gated,ordinal,u2,3,0.9132,0.0016,0.7099,0.0024,0.4410,0.0057,1.2537,0.0024
gated,ordinal,u3,3,0.9082,0.0011,0.7077,0.0011,0.4405,0.0016,1.2564,0.0013
gated,ordinal,u4,3,0.9123,0.0011,0.7119,0.0002,0.4401,0.0015,1.2629,0.0015
gated,ordinal,u5,3,0.9104,0.0014,0.7152,0.0004,0.4313,0.0006,1.2633,0.0037
gated,sigmoid,u1,3,0.9182,0.0007,0.7230,0.0015,0.4256,0.0012,—,—
gated,sigmoid,u2,3,0.9146,0.0015,0.7155,0.0003,0.4345,0.0011,—,—
gated,sigmoid,u3,3,0.9086,0.0012,0.7148,0.0016,0.4285,0.0018,—,—
gated,sigmoid,u4,3,0.9145,0.0028,0.7178,0.0003,0.4329,0.0013,—,—
gated,sigmoid,u5,3,0.9113,0.0022,0.7200,0.0017,0.4213,0.0028,—,—
none,ordinal,u1,3,0.9289,0.0006,0.7309,0.0008,0.4237,0.0015,1.2682,0.0031
none,ordinal,u2,3,0.9175,0.0021,0.7195,0.0014,0.4310,0.0005,1.2592,0.0025
none,ordinal,u3,3,0.9119,0.0010,0.7139,0.0009,0.4348,0.0011,1.2588,0.0012
none,ordinal,u4,3,0.9106,0.0013,0.7147,0.0010,0.4347,0.0008,1.2613,0.0013
none,ordinal,u5,3,0.9164,0.0011,0.7228,0.0009,0.4235,0.0017,1.2694,0.0011
none,sigmoid,u1,3,0.9258,0.0004,0.7328,0.0002,0.4194,0.0002,—,—
none,sigmoid,u2,3,0.9171,0.0026,0.7225,0.0023,0.4259,0.0018,—,—
none,sigmoid,u3,3,0.9109,0.0016,0.7189,0.0021,0.4272,0.0032,—,—
none,sigmoid,u4,3,0.9108,0.0006,0.7192,0.0009,0.4263,0.0010,—,—
none,sigmoid,u5,3,0.9155,0.0010,0.7270,0.0026,0.4178,0.0033,—,—
