dim_sorted_idx,orig_dim,mean_g_i,std_g_i
0,23,0.0020,0.0012
1,92,0.0025,0.0015
2,109,0.0040,0.0023
3,40,0.0064,0.0030
4,26,0.0073,0.0033
5,42,0.0079,0.0034
6,91,0.0081,0.0090
7,115,0.0081,0.0043
8,47,0.0083,0.0039
9,96,0.0086,0.0040
10,100,0.0088,0.0039
11,31,0.0103,0.0042
12,25,0.0120,0.0046
13,12,0.0132,0.0059
14,2,0.0150,0.0053
15,15,0.0154,0.0065
16,50,0.0155,0.0068
17,118,0.0155,0.0072
18,28,0.0162,0.0077
19,49,0.0165,0.0060
20,41,0.0169,0.0070
21,1,0.0173,0.0059
22,121,0.0194,0.0073
23,63,0.0195,0.0074
24,73,0.0198,0.0074
25,38,0.0199,0.0087
26,71,0.0218,0.0077
27,48,0.0229,0.0080
28,123,0.0235,0.0091
29,127,0.0259,0.0084
30,90,0.0271,0.0098
31,57,0.0291,0.0254
32,29,0.0291,0.0098
33,9,0.0298,0.0213
34,112,0.0315,0.0120
35,21,0.0322,0.0100
36,79,0.0336,0.0175
37,27,0.0340,0.0121
38,114,0.0536,0.0274
39,24,0.0539,0.0321
40,62,0.0584,0.0255
41,35,0.0835,0.0876
42,80,0.1019,0.0430
43,126,0.1087,0.0967
44,102,0.1314,0.0667
45,61,0.1348,0.1210
46,60,0.1388,0.2350
47,39,0.1417,0.1946
48,6,0.1496,0.0539
49,33,0.1724,0.1380
50,122,0.1754,0.1058
51,36,0.1824,0.1263
52,52,0.1848,0.2460
53,105,0.1894,0.1354
54,70,0.1962,0.2028
55,104,0.2050,0.1474
56,64,0.2176,0.2498
57,85,0.2233,0.2470
58,83,0.2282,0.1634
59,20,0.2298,0.2064
60,44,0.2312,0.1430
61,101,0.2323,0.1070
62,89,0.2412,0.2914
63,76,0.2463,0.1225
64,75,0.2697,0.2383
65,87,0.2754,0.2505
66,125,0.2886,0.1493
67,8,0.2889,0.2713
68,95,0.2903,0.2095
69,97,0.3057,0.3382
70,111,0.3071,0.2286
71,88,0.3168,0.2241
72,34,0.3179,0.2475
73,65,0.3445,0.2116
74,106,0.3451,0.2107
75,69,0.3540,0.2904
76,54,0.3581,0.1875
77,72,0.3586,0.2246
78,13,0.3651,0.2178
79,98,0.3659,0.2293
80,68,0.3710,0.2628
81,5,0.3750,0.2239
82,53,0.3763,0.2974
83,55,0.3766,0.3327
84,17,0.3800,0.1911
85,107,0.3805,0.3463
86,58,0.3871,0.1871
87,94,0.3881,0.2466
88,93,0.3999,0.3114
89,108,0.4017,0.2134
90,11,0.4022,0.2139
91,119,0.4043,0.2050
92,77,0.4310,0.3423
93,43,0.4463,0.2859
94,116,0.4644,0.2783
95,110,0.4715,0.2971
96,0,0.4754,0.2642
97,19,0.4761,0.3388
98,7,0.4775,0.2324
99,59,0.4824,0.1888
100,67,0.5007,0.2525
101,56,0.5198,0.1606
102,81,0.5309,0.1910
103,30,0.5456,0.2616
104,74,0.5712,0.2783
105,124,0.6086,0.2047
106,86,0.6144,0.2001
107,120,0.6575,0.1663
108,66,0.6673,0.1360
109,37,0.7065,0.1392
110,16,0.7337,0.1440
111,99,0.7483,0.1556
112,45,0.7783,0.1257
113,10,0.7884,0.1639
114,22,0.8084,0.0943
115,113,0.8346,0.0888
116,84,0.8524,0.1150
117,18,0.8750,0.0833
118,117,0.8993,0.0514
119,82,0.9507,0.0316
120,14,0.9667,0.0166
121,4,0.9699,0.0131
122,46,0.9761,0.0129
123,51,0.9786,0.0077
124,78,0.9879,0.0055
125,32,0.9897,0.0048
126,3,0.9907,0.0051
127,103,0.9919,0.0033
